user_id,answer_count
3,5
4,721
5,13
6,81
7,1
9,4
11,42
12,5
13,5
14,24
15,86
17,34
18,57
19,9
21,11
22,2
23,4
24,31
25,17
28,2
29,13
30,15
31,7
32,1
33,14
34,47
35,4
36,4
37,23
38,49
39,1
40,3
41,4
42,30
44,16
45,1
47,430
49,1
52,8
53,8
54,3
55,12
59,3
60,1
61,20
62,5
63,39
64,11
66,80
67,20
68,7
69,1
70,1
71,3
73,15
74,12
75,1
76,11
78,3
79,5
81,3
82,15
83,86
85,5
86,10
87,22
88,9
89,28
90,11
91,9
92,25
93,3
94,2
95,2
96,2
97,2
98,3
99,17
100,1
101,109
103,27
104,5
107,11
108,2
109,1
112,14
113,8
114,1
115,1
116,1
117,8
120,9
122,20
123,1
125,2
126,21
127,2
130,1
131,136
133,6
134,10
135,10
136,49
138,1
141,2
143,5
144,4
145,59
146,6
147,28
148,152
149,32
151,4
152,3
153,3
154,9
155,3
156,20
158,8
159,1
160,9
161,1
162,18
163,2
164,5
165,30
168,12
170,5
172,288
174,2
175,13
176,1
177,7
178,2
179,1
182,8
186,1
187,3
189,13
190,27
191,13
193,3
195,1
196,4
199,1
202,1
204,1
205,2
210,2
211,1
212,5
213,234
214,1
215,3
218,1
219,1
220,11
221,14
224,1
226,223
227,16
229,1
230,2
231,5
232,2
235,4
236,2
238,1
241,1
246,4
247,1
248,2
254,2
255,3
257,48
258,8
262,4
275,1
277,1
278,7
280,1
281,3
283,1
285,136
287,135
290,1
292,2
293,4
295,1
297,1
298,1
305,5
307,2
308,1
310,3
311,1
313,1
315,1
316,1
317,5
319,3
323,3
325,7
331,1
334,4
342,1
343,2
345,1
348,87
350,1
354,5
355,2
356,16
359,3
360,3
365,1
366,22
370,3
372,1
373,6
374,1
376,2
378,3
379,1
381,12
383,2
384,2
386,1
389,34
395,1
396,1
398,1
401,2
402,2
403,1
404,6
408,1
409,1
411,1
415,3
416,1
422,4
425,1
427,4
432,1
433,9
436,3
438,1
439,3
442,4
443,1
444,2
445,1
446,1
447,3
452,1
456,7
459,1
460,1
462,1
464,69
467,4
468,2
471,10
472,3
475,3
477,1
479,1
480,1
483,66
485,3
486,2
487,1
488,5
489,2
490,2
493,3
494,11
497,2
500,17
505,5
509,5
511,1
512,1
513,1
514,3
515,1
517,25
521,1
525,2
526,1
527,3
532,1
535,2
537,50
539,1
540,2
542,12
543,1
545,1
550,19
552,67
557,1
559,1
560,2
562,14
564,7
567,1
572,102
575,4
577,1
580,1
585,2
586,1
587,12
589,2
591,276
593,1
594,14
596,1
597,3
598,5
602,17
604,3
605,1
607,28
610,2
611,261
616,1
617,7
618,1
619,2
620,308
625,3
626,1
627,2
628,28
631,10
633,5
635,1
638,2
641,4
642,2
648,1
649,1
650,4
652,1
656,2
657,25
660,1
661,1
662,2
663,2
666,35
667,320
670,1
671,7
672,47
675,8
679,52
680,1
685,4
686,1
688,6
691,15
692,3
693,2
694,1
698,4
699,1
700,21
703,1
705,5
707,1
708,1
710,1
711,3
712,39
714,1
715,44
718,5
719,9
720,3
728,2
730,2
731,1
734,1
735,12
738,10
749,4
758,1
760,1
761,1
762,1
767,1
769,1
771,1
773,3
774,1
778,6
782,35
783,1
785,11
786,16
789,2
790,1
791,1
794,2
798,1
801,1
803,1
807,1
808,1
809,2
813,1
815,1
818,1
819,2
820,2
824,1
825,2
827,1
828,1
830,1
831,2
832,2
835,2
837,11
838,29
839,1
841,146
843,1
844,24
848,2
849,2
851,2
854,28
855,992
859,2
860,3
861,7
862,1
864,1
866,116
867,1
870,1
871,1
880,2
882,29
883,13
886,30
893,1
894,2
897,465
900,22
902,381
905,2
906,385
908,1
910,1
912,7
914,5
915,2
919,7
921,3
923,7
927,1
928,1
929,5
933,1
934,58
935,504
936,1
940,2
942,1
943,2
944,8
947,3
956,2
958,1
963,40
964,1
965,3
966,4
968,1
969,1
970,1
971,1
974,1
977,2
979,31
980,51
983,5
984,2
987,70
988,1
989,1
990,7
993,3
997,1
998,9
1000,2
1001,2
1008,1
1011,2
1013,10
1014,3
1020,11
1023,1
1025,1
1027,2
1028,2
1033,229
1035,1
1037,5
1038,2
1042,1
1043,1
1044,4
1045,2
1049,8
1050,8
1058,1
1059,1
1060,4
1061,3
1063,2
1064,1
1065,2
1067,5
1069,38
1070,1
1071,4
1073,16
1078,1
1079,1
1080,19
1081,2
1083,2
1093,358
1095,6
1097,1
1101,3
1104,2
1108,12
1109,2
1111,14
1114,98
1116,2
1117,2
1119,1
1123,3
1124,5
1127,6
1129,2
1130,141
1131,1
1134,1
1138,1
1140,1
1142,4
1145,45
1147,10
1148,1
1150,1
1154,1
1155,1
1160,2
