Id,Tags
1,<comments><anti-patterns>
3,NULL
4,<business><project-management><development-process>
7,NULL
9,<productivity><time-management>
12,NULL
13,NULL
16,<programming-languages><dynamic-typing><static-typing><type-systems>
18,<team><web-development>
20,NULL
22,NULL
23,NULL
25,NULL
26,NULL
38,<project-management><waterfall>
39,<quotations>
41,NULL
42,<communication>
44,<skills>
49,<functional-programming>
50,NULL
52,NULL
53,NULL
54,NULL
55,NULL
56,NULL
57,<coding-style><indentation>
59,NULL
61,NULL
62,NULL
63,NULL
64,NULL
66,NULL
68,NULL
69,NULL
70,NULL
72,NULL
73,<project-management><scope-creep>
76,NULL
79,NULL
80,NULL
81,NULL
82,NULL
86,NULL
87,NULL
89,NULL
90,NULL
94,<interview><hiring>
95,NULL
96,NULL
98,NULL
102,NULL
103,NULL
104,<project-management><decisions>
108,NULL
110,NULL
111,NULL
123,NULL
125,NULL
128,NULL
133,NULL
134,<billing><freelancing><pricing>
135,<twitter><social-networks>
142,NULL
143,NULL
145,NULL
146,NULL
148,NULL
149,NULL
152,NULL
153,NULL
155,NULL
157,NULL
158,NULL
163,<books><language-agnostic>
165,NULL
170,NULL
171,NULL
172,NULL
174,NULL
177,<concurrency><erlang><actor-model>
178,NULL
182,NULL
185,NULL
186,NULL
188,<usage><performance>
189,NULL
190,NULL
192,<code-quality><test-coverage>
194,NULL
196,NULL
197,NULL
198,NULL
199,NULL
201,NULL
203,NULL
204,NULL
205,NULL
206,<development-process><tdd>
209,NULL
211,NULL
214,NULL
215,<linux><kernel>
216,NULL
220,<agile><solo-development>
221,<terminology><history><variables><etymology>
223,NULL
225,NULL
227,NULL
228,NULL
235,NULL
247,<learning><cobol>
248,NULL
249,NULL
252,<design-patterns><singleton>
254,NULL
256,NULL
257,<productivity>
259,NULL
262,<java><programming-languages>
263,NULL
267,NULL
268,NULL
269,NULL
271,NULL
273,NULL
276,NULL
278,NULL
283,NULL
284,NULL
285,NULL
286,NULL
289,NULL
294,<learning><open-source><junior-programmer>
298,NULL
299,NULL
303,NULL
304,NULL
308,NULL
312,NULL
317,NULL
319,NULL
324,NULL
325,NULL
332,NULL
348,<productivity>
351,NULL
356,NULL
362,NULL
363,NULL
368,<java><performance>
370,<experience>
372,NULL
384,NULL
385,NULL
392,NULL
394,NULL
397,NULL
404,<project-management><performance>
406,NULL
407,NULL
408,<technique>
409,NULL
414,NULL
416,NULL
417,NULL
418,NULL
423,NULL
425,NULL
440,NULL
451,NULL
454,NULL
462,NULL
467,NULL
472,NULL
482,NULL
487,<programming-languages><language-design>
491,NULL
492,<productivity>
493,NULL
496,NULL
498,NULL
499,NULL
500,<agile><pair-programming>
501,<programming-languages><syntax>
502,<programming-languages>
503,NULL
504,NULL
